timeSlotID,startTime,endTime,userID,isDayOffTimeSlot,shiftTypeID,subCategoryID,dayOfWeekOne,dayOfWeekTwo
1,05:00:00,13:00:00,2,TRUE,1,4,3,4
2,05:00:00,13:00:00,10,TRUE,1,4,0,1
3,05:00:00,13:00:00,11,TRUE,1,4,2,3
4,06:00:00,14:00:00,5,TRUE,1,4,6,0
5,06:00:00,14:00:00,9,TRUE,1,4,1,2
6,13:00:00,21:00:00,2,TRUE,2,4,0,1
7,13:00:00,21:00:00,3,TRUE,2,4,2,3
8,13:00:00,21:00:00,4,TRUE,2,4,3,4
9,14:00:00,22:00:00,8,TRUE,2,4,1,2
10,21:00:00,05:00:00,15,TRUE,3,4,5,6
11,21:00:00,05:00:00,7,TRUE,3,4,1,2
12,21:00:00,05:00:00,14,TRUE,3,4,3,4
13,22:00:00,06:00:00,6,TRUE,3,4,0,1
14,22:00:00,06:00:00,12,TRUE,3,4,1,2
15,22:00:00,06:00:00,13,TRUE,3,4,2,3
16,,,24,TRUE,1,1,4,5
17,,,21,TRUE,1,1,6,0
18,,,22,TRUE,2,1,4,5
19,,,23,TRUE,2,1,6,0
20,,,25,TRUE,3,1,4,5
21,,,26,TRUE,3,1,6,0
22,07:40:00,15:40:00,32,FALSE,2,5,5,6
23,07:40:00,15:40:00,33,FALSE,2,5,5,6
24,06:00:00,14:00:00,30,FALSE,1,3,5,6
25,06:00:00,14:00:00,29,FALSE,1,3,5,6
26,13:00:00,21:00:00,31,FALSE,2,3,5,6
27,06:00:00,14:00:00,34,FALSE,1,6,5,6
28,06:00:00,14:00:00,35,FALSE,1,6,5,6
29,13:00:00,21:00:00,36,FALSE,2,6,5,6
30,14:00:00,22:00:00,37,FALSE,2,6,5,6
31,,,40,FALSE,1,2,4,5
32,,,41,FALSE,1,2,6,0
33,,,38,FALSE,2,2,4,5
34,,,39,FALSE,2,2,6,0
35,,,42,FALSE,3,2,4,5
36,,,43,FALSE,3,2,6,0
37,05:00:00,13:00:00,,TRUE,1,4,3,4
38,05:00:00,13:00:00,,TRUE,1,4,0,1
39,05:00:00,13:00:00,,TRUE,1,4,2,3
40,06:00:00,14:00:00,,TRUE,1,4,6,0
41,06:00:00,14:00:00,,TRUE,1,4,1,2
42,13:00:00,21:00:00,,TRUE,2,4,0,1
43,13:00:00,21:00:00,,TRUE,2,4,2,3
44,13:00:00,21:00:00,,TRUE,2,4,3,4
45,14:00:00,22:00:00,,TRUE,2,4,1,2
46,21:00:00,05:00:00,,TRUE,3,4,5,6
47,21:00:00,05:00:00,,TRUE,3,4,1,2
48,21:00:00,05:00:00,,TRUE,3,4,3,4
49,22:00:00,06:00:00,,TRUE,3,4,0,1
50,22:00:00,06:00:00,,TRUE,3,4,1,2
51,22:00:00,06:00:00,,TRUE,3,4,2,3
52,,,,TRUE,1,1,4,5
53,,,,TRUE,1,1,6,0
54,,,,TRUE,2,1,4,5
55,,,,TRUE,2,1,6,0
56,,,,TRUE,3,1,4,5
57,,,,TRUE,3,1,6,0
58,07:40:00,15:40:00,,FALSE,2,5,5,6
59,07:40:00,15:40:00,,FALSE,2,5,5,6
60,06:00:00,14:00:00,,FALSE,1,3,5,6
61,06:00:00,14:00:00,,FALSE,1,3,5,6
62,13:00:00,21:00:00,,FALSE,2,3,5,6
63,06:00:00,14:00:00,,FALSE,1,6,5,6
64,06:00:00,14:00:00,,FALSE,1,6,5,6
65,13:00:00,21:00:00,,FALSE,2,6,5,6
66,14:00:00,22:00:00,,FALSE,2,6,5,6
67,,,,FALSE,1,2,4,5
68,,,,FALSE,1,2,6,0
69,,,,FALSE,2,2,4,5
70,,,,FALSE,2,2,6,0
71,,,,FALSE,3,2,4,5
72,,,,FALSE,3,2,6,0
