dayOffID,timeSlotID,dayOfWeekID
1,1,5
2,1,6
3,2,2
4,2,3
5,3,4
6,3,5
7,4,1
8,4,2
9,5,3
10,5,4
11,6,2
12,6,3
13,7,4
14,7,5
15,8,5
16,8,6
17,9,3
18,9,4
19,10,7
20,10,1
21,11,3
22,11,4
23,12,5
24,12,6
25,13,2
26,13,3
27,14,3
28,14,4
29,15,4
30,15,5
31,16,6
32,16,7
33,17,1
34,17,2
35,18,6
36,18,7
37,19,1
38,19,2
39,20,6
40,20,7
41,21,1
42,21,2
43,22,7
44,22,1
45,23,7
46,23,1
47,24,7
48,24,1
49,25,7
50,25,1
51,26,7
52,26,1
53,27,7
54,27,1
55,28,7
56,28,1
57,29,7
58,29,1
59,30,7
60,30,1
61,31,6
62,31,7
63,32,1
64,32,2
65,33,6
66,33,7
67,34,1
68,34,2
69,35,6
70,35,7
71,36,1
72,36,2
73,37,5
74,37,6
75,38,2
76,38,3
77,39,4
78,39,5
79,40,1
80,40,2
81,41,3
82,41,4
83,42,2
84,42,3
85,43,4
86,43,5
87,44,5
88,44,6
89,45,3
90,45,4
91,46,7
92,46,1
93,47,3
94,47,4
95,48,5
96,48,6
97,49,2
98,49,3
99,50,3
100,50,4
101,51,4
102,51,5
103,52,6
104,52,7
105,53,1
106,53,2
107,54,6
108,54,7
109,55,1
110,55,2
111,56,6
112,56,7
113,57,1
114,57,2
115,58,7
116,58,1
117,59,7
118,59,1
119,60,7
120,60,1
121,61,7
122,61,1
123,62,7
124,62,1
125,63,7
126,63,1
127,64,7
128,64,1
129,65,7
130,65,1
131,66,7
132,66,1
133,67,6
134,67,7
135,68,1
136,68,2
137,69,6
138,69,7
139,70,1
140,70,2
141,71,6
142,71,7
143,72,1
144,72,2
