subCategoryUserID,userID,subCategoryID
1,1,4
2,2,4
3,3,4
4,4,4
5,5,4
6,6,4
7,7,4
8,8,4
9,9,4
10,10,4
11,11,4
12,12,4
13,13,4
14,14,4
15,15,4
16,16,4
17,17,4
18,18,4
19,19,4
20,20,4
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,5
29,29,3
30,30,3
31,31,3
32,32,5
33,33,5
34,34,6
35,35,6
36,36,6
37,37,6
38,38,2
39,39,2
40,40,2
41,41,2
42,42,2
43,43,2
44,44,2
45,1,10
46,2,10
47,3,10
48,4,10
49,5,10
50,6,10
51,7,10
52,8,10
53,9,10
54,10,10
55,11,10
56,12,10
57,13,10
58,14,10
59,15,10
60,16,10
61,17,10
62,18,10
63,19,10
64,20,10
65,21,7
66,22,7
67,23,7
68,24,7
69,25,7
70,26,7
71,27,7
72,28,7
73,29,9
74,30,9
75,31,9
76,32,11
77,33,11
78,34,12
79,35,12
80,36,12
81,37,12
82,38,8
83,39,8
84,40,8
85,41,8
86,42,8
87,43,8
88,44,8
