timeSlotID,startTime,endTime,userID,shiftTypeID,subCategoryID
1,05:00:00,13:00:00,2,1,4
2,05:00:00,13:00:00,10,1,4
3,05:00:00,13:00:00,11,1,4
4,06:00:00,14:00:00,5,1,4
5,06:00:00,14:00:00,9,1,4
6,13:00:00,21:00:00,2,2,4
7,13:00:00,21:00:00,3,2,4
8,13:00:00,21:00:00,4,2,4
9,14:00:00,22:00:00,8,2,4
10,21:00:00,05:00:00,15,3,4
11,21:00:00,05:00:00,7,3,4
12,21:00:00,05:00:00,14,3,4
13,22:00:00,06:00:00,6,3,4
14,22:00:00,06:00:00,12,3,4
15,22:00:00,06:00:00,13,3,4
16,,,24,1,1
17,,,21,1,1
18,,,22,2,1
19,,,23,2,1
20,,,25,3,1
21,,,26,3,1
22,07:40:00,15:40:00,32,2,5
23,07:40:00,15:40:00,33,2,5
24,06:00:00,14:00:00,30,1,3
25,06:00:00,14:00:00,29,1,3
26,13:00:00,21:00:00,31,2,3
27,06:00:00,14:00:00,34,1,6
28,06:00:00,14:00:00,35,1,6
29,13:00:00,21:00:00,36,2,6
30,14:00:00,22:00:00,37,2,6
31,,,40,1,2
32,,,41,1,2
33,,,38,2,2
34,,,39,2,2
35,,,42,3,2
36,,,43,3,2
37,05:00:00,13:00:00,,4,4
38,05:00:00,13:00:00,,4,4
39,05:00:00,13:00:00,,4,4
40,06:00:00,14:00:00,,4,4
41,06:00:00,14:00:00,,4,4
42,13:00:00,21:00:00,,5,4
43,13:00:00,21:00:00,,5,4
44,13:00:00,21:00:00,,5,4
45,14:00:00,22:00:00,,5,4
46,21:00:00,05:00:00,,6,4
47,21:00:00,05:00:00,,6,4
48,21:00:00,05:00:00,,6,4
49,22:00:00,06:00:00,,6,4
50,22:00:00,06:00:00,,6,4
51,22:00:00,06:00:00,,6,4
52,,,,4,1
53,,,,4,1
54,,,,5,1
55,,,,5,1
56,,,,6,1
57,,,,6,1
58,07:40:00,15:40:00,,5,5
59,07:40:00,15:40:00,,5,5
60,06:00:00,14:00:00,,4,3
61,06:00:00,14:00:00,,4,3
62,13:00:00,21:00:00,,5,3
63,06:00:00,14:00:00,,4,6
64,06:00:00,14:00:00,,4,6
65,13:00:00,21:00:00,,5,6
66,14:00:00,22:00:00,,5,6
67,,,,4,2
68,,,,4,2
69,,,,5,2
70,,,,5,2
71,,,,6,2
72,,,,6,2
